1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
0.05510,0.05875,0.06186,0.06451,0.06681,0.06883,0.07066,0.07240,0.07413,0.07595,0.07793,0.08017,0.08275,0.08570,0.08883,0.09206,0.09538,0.09877,0.10221,0.10569,0.10916,0.11261,0.11601,0.11933,0.12256,0.12570,0.12885,0.13203,0.13523,0.13845,0.14171,0.14500,0.14831,0.15165,0.15503,0.15843,0.16186,0.16532,0.16880,0.17230,0.17582,0.17935,0.18290,0.18647,0.19005,0.19365,0.19726,0.20088,0.20452,0.20817,0.21183,0.21550,0.21918,0.22287,0.22657,0.23028,0.23400,0.23773,0.24146,0.24520,0.24894,0.25269,0.25644,0.26019,0.26394,0.26768,0.27141,0.27514,0.27887,0.28259,0.28629,0.28999,0.29368,0.29736,0.30102,0.30467,0.30830,0.31192,0.31552,0.31911,0.32267,0.32622,0.32974,0.33324,0.33672,0.34018,0.34364,0.34710,0.35057,0.35403,0.35750,0.36097,0.36445,0.36793,0.37141,0.37490,0.37839,0.38189,0.38539,0.38889,0.39241,0.39592,0.39945,0.40297,0.40651,0.41005,0.41360,0.41716,0.42072,0.42429,0.42787,0.43146,0.43506,0.43866,0.44228,0.44590,0.44954,0.45318,0.45684,0.46050,0.00000
0.00000,0.05182,0.05493,0.05759,0.05988,0.06190,0.06374,0.06547,0.06721,0.06902,0.07100,0.07324,0.07582,0.07878,0.08190,0.08513,0.08845,0.09184,0.09529,0.09876,0.10224,0.10568,0.10908,0.11240,0.11563,0.11878,0.12192,0.12510,0.12830,0.13152,0.13478,0.13807,0.14138,0.14473,0.14810,0.15150,0.15493,0.15839,0.16187,0.16537,0.16889,0.17242,0.17597,0.17954,0.18312,0.18672,0.19033,0.19395,0.19759,0.20124,0.20490,0.20857,0.21225,0.21594,0.21964,0.22335,0.22707,0.23080,0.23453,0.23827,0.24202,0.24577,0.24952,0.25326,0.25701,0.26075,0.26449,0.26822,0.27194,0.27566,0.27937,0.28306,0.28675,0.29043,0.29409,0.29774,0.30138,0.30499,0.30860,0.31218,0.31574,0.31929,0.32281,0.32631,0.32979,0.33325,0.33671,0.34017,0.34364,0.34710,0.35057,0.35405,0.35752,0.36100,0.36448,0.36797,0.37146,0.37496,0.37846,0.38197,0.38548,0.38900,0.39252,0.39605,0.39958,0.40312,0.40667,0.41023,0.41379,0.41737,0.42095,0.42453,0.42813,0.43174,0.43535,0.43898,0.44261,0.44625,0.44991,0.45357,0.00000
0.00000,0.00000,0.04800,0.05066,0.05295,0.05497,0.05681,0.05855,0.06028,0.06209,0.06407,0.06631,0.06890,0.07185,0.07497,0.07820,0.08152,0.08491,0.08836,0.09183,0.09531,0.09875,0.10215,0.10547,0.10870,0.11185,0.11500,0.11817,0.12137,0.12460,0.12785,0.13114,0.13446,0.13780,0.14117,0.14457,0.14800,0.15146,0.15495,0.15844,0.16196,0.16550,0.16905,0.17261,0.17619,0.17979,0.18340,0.18702,0.19066,0.19431,0.19797,0.20164,0.20532,0.20901,0.21272,0.21643,0.22014,0.22387,0.22760,0.23134,0.23509,0.23884,0.24259,0.24633,0.25008,0.25382,0.25756,0.26129,0.26501,0.26873,0.27244,0.27614,0.27982,0.28350,0.28716,0.29081,0.29445,0.29807,0.30167,0.30525,0.30882,0.31236,0.31588,0.31938,0.32286,0.32632,0.32978,0.33324,0.33671,0.34018,0.34365,0.34712,0.35059,0.35407,0.35756,0.36104,0.36454,0.36803,0.37153,0.37504,0.37855,0.38207,0.38559,0.38912,0.39265,0.39620,0.39975,0.40330,0.40687,0.41044,0.41402,0.41761,0.42120,0.42481,0.42842,0.43205,0.43568,0.43933,0.44298,0.44665,0.00000
0.00000,0.00000,0.00000,0.04373,0.04602,0.04804,0.04988,0.05162,0.05335,0.05516,0.05714,0.05938,0.06197,0.06492,0.06804,0.07128,0.07459,0.07799,0.08143,0.08491,0.08838,0.09183,0.09522,0.09855,0.10178,0.10492,0.10807,0.11124,0.11444,0.11767,0.12093,0.12421,0.12753,0.13087,0.13424,0.13764,0.14107,0.14454,0.14802,0.15152,0.15503,0.15857,0.16212,0.16568,0.16927,0.17286,0.17647,0.18010,0.18373,0.18738,0.19104,0.19471,0.19839,0.20209,0.20579,0.20950,0.21322,0.21694,0.22067,0.22441,0.22816,0.23191,0.23566,0.23941,0.24315,0.24689,0.25063,0.25436,0.25808,0.26180,0.26551,0.26921,0.27290,0.27657,0.28023,0.28388,0.28752,0.29114,0.29474,0.29832,0.30189,0.30543,0.30896,0.31246,0.31593,0.31939,0.32285,0.32632,0.32978,0.33325,0.33672,0.34019,0.34367,0.34715,0.35063,0.35412,0.35761,0.36110,0.36460,0.36811,0.37162,0.37514,0.37866,0.38219,0.38573,0.38927,0.39282,0.39637,0.39994,0.40351,0.40709,0.41068,0.41427,0.41788,0.42149,0.42512,0.42875,0.43240,0.43605,0.43972,0.00000
0.00000,0.00000,0.00000,0.00000,0.03910,0.04112,0.04295,0.04469,0.04642,0.04823,0.05021,0.05245,0.05504,0.05799,0.06112,0.06435,0.06767,0.07106,0.07450,0.07798,0.08145,0.08490,0.08829,0.09162,0.09485,0.09799,0.10114,0.10431,0.10751,0.11074,0.11400,0.11728,0.12060,0.12394,0.12731,0.13071,0.13415,0.13761,0.14109,0.14459,0.14810,0.15164,0.15519,0.15876,0.16234,0.16593,0.16954,0.17317,0.17680,0.18045,0.18411,0.18778,0.19147,0.19516,0.19886,0.20257,0.20629,0.21001,0.21375,0.21749,0.22123,0.22498,0.22873,0.23248,0.23622,0.23996,0.24370,0.24743,0.25116,0.25487,0.25858,0.26228,0.26597,0.26964,0.27331,0.27696,0.28059,0.28421,0.28781,0.29140,0.29496,0.29850,0.30203,0.30553,0.30900,0.31247,0.31593,0.31939,0.32285,0.32632,0.32979,0.33326,0.33674,0.34022,0.34370,0.34719,0.35068,0.35418,0.35768,0.36118,0.36469,0.36821,0.37173,0.37526,0.37880,0.38234,0.38589,0.38945,0.39301,0.39658,0.40016,0.40375,0.40735,0.41095,0.41457,0.41819,0.42183,0.42547,0.42912,0.43279,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.03419,0.03602,0.03776,0.03949,0.04130,0.04329,0.04552,0.04811,0.05106,0.05419,0.05742,0.06074,0.06413,0.06757,0.07105,0.07452,0.07797,0.08137,0.08469,0.08792,0.09106,0.09421,0.09739,0.10058,0.10381,0.10707,0.11036,0.11367,0.11701,0.12038,0.12379,0.12722,0.13068,0.13416,0.13766,0.14118,0.14471,0.14826,0.15183,0.15541,0.15901,0.16262,0.16624,0.16988,0.17352,0.17718,0.18086,0.18454,0.18823,0.19193,0.19564,0.19936,0.20309,0.20682,0.21056,0.21430,0.21805,0.22180,0.22555,0.22929,0.23304,0.23677,0.24050,0.24423,0.24794,0.25165,0.25535,0.25904,0.26271,0.26638,0.27003,0.27366,0.27728,0.28088,0.28447,0.28803,0.29158,0.29510,0.29860,0.30208,0.30554,0.30900,0.31246,0.31592,0.31939,0.32286,0.32633,0.32981,0.33329,0.33677,0.34026,0.34375,0.34725,0.35075,0.35425,0.35777,0.36128,0.36481,0.36833,0.37187,0.37541,0.37896,0.38252,0.38608,0.38965,0.39323,0.39682,0.40042,0.40402,0.40764,0.41126,0.41490,0.41854,0.42220,0.42586,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02909,0.03083,0.03256,0.03438,0.03636,0.03860,0.04118,0.04414,0.04726,0.05049,0.05381,0.05720,0.06064,0.06412,0.06760,0.07104,0.07444,0.07776,0.08099,0.08414,0.08728,0.09046,0.09366,0.09688,0.10014,0.10343,0.10674,0.11008,0.11346,0.11686,0.12029,0.12375,0.12723,0.13073,0.13425,0.13778,0.14133,0.14490,0.14848,0.15208,0.15569,0.15931,0.16295,0.16660,0.17026,0.17393,0.17761,0.18130,0.18500,0.18871,0.19243,0.19616,0.19989,0.20363,0.20738,0.21112,0.21487,0.21862,0.22237,0.22611,0.22984,0.23358,0.23730,0.24102,0.24472,0.24842,0.25211,0.25579,0.25945,0.26310,0.26673,0.27035,0.27395,0.27754,0.28110,0.28465,0.28817,0.29167,0.29515,0.29861,0.30207,0.30553,0.30900,0.31246,0.31593,0.31941,0.32288,0.32636,0.32984,0.33333,0.33682,0.34032,0.34382,0.34733,0.35084,0.35435,0.35788,0.36141,0.36494,0.36848,0.37203,0.37559,0.37915,0.38272,0.38630,0.38989,0.39349,0.39710,0.40071,0.40433,0.40797,0.41161,0.41527,0.41893,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02391,0.02564,0.02745,0.02943,0.03167,0.03425,0.03721,0.04033,0.04356,0.04688,0.05027,0.05372,0.05719,0.06067,0.06411,0.06751,0.07083,0.07406,0.07721,0.08036,0.08353,0.08673,0.08996,0.09321,0.09650,0.09981,0.10316,0.10653,0.10993,0.11336,0.11682,0.12030,0.12380,0.12732,0.13085,0.13441,0.13797,0.14155,0.14515,0.14876,0.15238,0.15602,0.15967,0.16333,0.16700,0.17068,0.17437,0.17807,0.18178,0.18550,0.18923,0.19296,0.19670,0.20045,0.20420,0.20795,0.21169,0.21544,0.21918,0.22292,0.22665,0.23037,0.23409,0.23780,0.24149,0.24518,0.24886,0.25252,0.25617,0.25981,0.26342,0.26703,0.27061,0.27418,0.27772,0.28124,0.28474,0.28822,0.29168,0.29514,0.29860,0.30207,0.30553,0.30900,0.31248,0.31595,0.31943,0.32292,0.32640,0.32989,0.33339,0.33689,0.34040,0.34391,0.34743,0.35095,0.35448,0.35801,0.36156,0.36510,0.36866,0.37222,0.37580,0.37938,0.38296,0.38656,0.39017,0.39378,0.39741,0.40104,0.40468,0.40834,0.41201,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01871,0.02052,0.02250,0.02474,0.02733,0.03028,0.03340,0.03663,0.03995,0.04334,0.04679,0.05026,0.05374,0.05718,0.06058,0.06390,0.06713,0.07028,0.07343,0.07660,0.07980,0.08303,0.08628,0.08957,0.09289,0.09623,0.09960,0.10300,0.10643,0.10989,0.11338,0.11688,0.12039,0.12393,0.12748,0.13104,0.13463,0.13822,0.14183,0.14546,0.14909,0.15274,0.15640,0.16007,0.16375,0.16744,0.17115,0.17486,0.17857,0.18230,0.18603,0.18977,0.19352,0.19727,0.20102,0.20477,0.20851,0.21225,0.21599,0.21972,0.22344,0.22716,0.23087,0.23457,0.23825,0.24193,0.24559,0.24924,0.25288,0.25650,0.26010,0.26368,0.26725,0.27079,0.27431,0.27781,0.28129,0.28475,0.28821,0.29168,0.29514,0.29861,0.30208,0.30555,0.30902,0.31250,0.31599,0.31947,0.32297,0.32646,0.32996,0.33347,0.33698,0.34050,0.34402,0.34755,0.35108,0.35463,0.35818,0.36173,0.36530,0.36887,0.37245,0.37604,0.37963,0.38324,0.38685,0.39048,0.39411,0.39776,0.40141,0.40508,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01359,0.01557,0.01781,0.02040,0.02335,0.02648,0.02971,0.03303,0.03642,0.03986,0.04334,0.04681,0.05026,0.05365,0.05698,0.06021,0.06335,0.06650,0.06967,0.07287,0.07610,0.07936,0.08264,0.08596,0.08930,0.09267,0.09607,0.09951,0.10297,0.10645,0.10995,0.11346,0.11700,0.12055,0.12412,0.12770,0.13129,0.13490,0.13853,0.14216,0.14581,0.14947,0.15314,0.15682,0.16052,0.16422,0.16793,0.17165,0.17537,0.17911,0.18285,0.18659,0.19034,0.19409,0.19784,0.20158,0.20532,0.20906,0.21279,0.21652,0.22023,0.22394,0.22764,0.23133,0.23500,0.23867,0.24231,0.24595,0.24957,0.25317,0.25675,0.26032,0.26386,0.26739,0.27089,0.27436,0.27782,0.28128,0.28475,0.28821,0.29168,0.29515,0.29862,0.30210,0.30558,0.30906,0.31255,0.31604,0.31953,0.32303,0.32654,0.33005,0.33357,0.33709,0.34062,0.34416,0.34770,0.35125,0.35480,0.35837,0.36194,0.36552,0.36911,0.37270,0.37631,0.37993,0.38355,0.38718,0.39083,0.39448,0.39815,0.00000
